Date,Open,High,Low,Close,Volume
2022-10-03,58.46092,58.69263,57.92798,58.03611,751886
2022-10-04,57.97431,58.30643,57.54179,57.72715,596467
2022-10-05,57.92797,58.11334,57.52634,57.61130,519520
2022-10-06,57.54179,59.24101,57.54179,58.87800,1766625
2022-10-07,58.39911,59.31051,58.15968,58.29098,789060
2022-10-10,58.31417,59.82029,58.31417,58.97841,2201264
2022-10-11,59.09426,60.16785,59.09426,59.41865,2725856
2022-10-12,59.27963,59.62719,59.08653,59.21783,1067530
2022-10-13,59.47272,59.74305,58.97068,59.10970,3945656
2022-10-14,59.56483,59.64467,58.68653,59.01390,2147880
2022-10-17,59.00591,59.08575,57.64853,57.79225,836345
2022-10-18,57.84815,58.60669,57.32916,57.49683,1211234
2022-10-19,57.34513,58.36715,57.34513,58.21545,1189977
2022-10-20,58.48690,58.76636,57.64852,57.72038,1061325
2022-10-21,57.95992,58.92606,57.35310,58.25536,4553831
2022-10-24,59.04582,59.28536,58.25535,58.45497,1265381
2022-10-25,58.38311,59.79637,58.36713,58.46295,4391704
2022-10-26,58.09566,58.12760,57.00976,57.18542,1759687
2022-10-27,57.40900,57.40900,56.57062,56.95388,1310959
2022-10-28,56.95387,57.07364,56.09154,56.24324,928073
2022-10-31,56.61054,56.77023,55.81208,55.93983,1568147
2022-11-01,56.17138,56.68239,55.89192,56.63448,1561100
2022-11-02,56.49876,57.40102,56.49876,57.06567,1403371
2022-11-03,57.40101,57.97590,57.06566,57.69644,3215528
2022-11-04,57.68826,57.85191,57.27912,57.56551,851616
2022-11-07,57.93375,58.43289,57.77827,57.99920,1189278
2022-11-08,58.30196,59.16115,58.22013,58.64563,967994
2022-11-09,58.64563,58.64563,58.64563,58.64563,0
2022-11-10,58.71110,62.10694,58.71110,60.59314,12082071
2022-11-11,60.87952,64.22625,60.26582,63.80075,12535792
2022-11-14,63.00703,63.98895,62.19694,62.38514,4367124
2022-11-15,62.51607,64.35718,62.29513,62.85155,6570407
2022-11-16,63.00703,63.57982,61.94327,62.22967,2408954
2022-11-17,62.58970,62.59789,61.25592,61.42776,1306240
